date,registration,fatalities,summary,all_aboard,cat,location,Country,Cleaned Country
1920-12-14,geama,4,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,8,A1,Golders Green,Golders Green,Golders Green
1923-05-14,faeby,6,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",6,A1,"Monsures, Somme",Somme,Somme
1923-08-27,faecb,1,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",11,A1,"East Malling, Kent",Kent,Kent
1926-10-21,gebms,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",12,A1,English Channel,English Channel,English Channel
1928-03-11,faefc,2,Crashed into the sea while delivering mail in poor weather.,2,A1,"near Folkestone, Kent...",Kent...,Kent...
1928-05-12,nc1492,2,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.,2,A1,"Dearborn, MI",MI,MI
1928-08-25,gcatx,7,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,7,A1,"near Port Townsend, WA",WA,WA
1928-12-01,nc7862,5,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.,5,A1,"near Spur, TX",TX,TX
1928-12-11,d1473,3,"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames.",4,A1,Letzlingen,Letzlingen,Letzlingen
1929-03-17,nc7683,14,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.,15,A1,"near Newark Airport, ...",...,...
1929-06-13,nc9700,2,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus"".",5,A1,Santiago Airport...,Santiago Airport...,Santiago Airport...
1929-06-17,gebmt,7,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa.""",13,A1,near Dungeness,near Dungeness,near Dungeness
1929-06-24,nc7416,1,All three engines failed shortly after takeoff causing the plane to stall and crash near Indian Mounds park.,8,A1,"Saint Paul, MN",MN,MN
1929-09-03,nc9649,8,"Shortly after departing the aircraft crashed into a Mt Taylor after encountering a thunderstorm and turbulence. The plane was named ""The City of San Francisco.""",8,A1,"near Gallup, NM",NM,NM
1929-09-06,gebmz,3,"At night, the aircraft crashed short of the runway in low visibility.",5,A1,Jask Airport,Jask Airport,Jask Airport
1929-10-26,gaadn,7,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome.""",7,A1,near La Spezia,near La Spezia,near La Spezia
1929-11-06,d903,7,"After the plane's antenna wire struck the ground and was partially torn off, the pilot attempted to return to land but hit tree tops and crashed in rain and fog.",8,A1,"near Godstone, Surrey",Surrey,Surrey
1930-01-19,nc9689,16,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.",16,A1,"Oceanside, CA",CA,United States of America
1930-02-10,ffhmy,2,"While attempting to land in snow, the plane rose up, stalled and crashed. Fatigue of the upper front strut of the right tail which failed in flight, causing the spar to fail as well.",6,A1,"Marden, Kent",Kent,Kent
1930-06-05,nc9675,1,Crashed into Boston Harbor after losing the right  engine on takeoff.,15,A1,"Boston, MA",MA,MA
1930-10-30,gebix,3,"Crashed into high ground in fog after losing an engine. The plane was named ""City of Washington.""",6,A1,"Boulogne, Paris",Paris,Paris
1930-11-07,pbaha,1,Crashed into the sea.,9,A1,"near Iguape, SP",SP,SP
1931-08-09,nc9662,6,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.,6,A1,"Cincinnati, OH",OH,OH
1932-03-19,nc652e,7,The crew reduced altitude in foggy conditions to maintain visual contact with the ground. Crashed into an apple orchard after striking power lines. One survivor died the next day.,7,A1,"Calimesa, CA",CA,United States of America
1932-07-16,nc403h,9,"The aircraft crashed in a severe snowstorm in the Andes Mountains.  The wreckage was buried by ice and snow and wasn’t found until March 22, 1934.",9,A1,near Vitacura,near Vitacura,near Vitacura
1932-08-31,seaae,2,The crew radioed they had problems with engine 3. The crew lowered their altitude and attempted an emergency landing. In low visibility and at night they hit a chimney and crashed.,2,A1,Tubbergen,Tubbergen,Tubbergen
1932-09-08,nc9716,3,The mail plane struck a mountain and burned after encountering poor weather conditions.,4,A1,"near Salt Flat, TX",TX,TX
1932-09-17,faife,1,On approach to Croydon in fog and reduced visibility the plane crashed in a hotel parking lot.,2,A1,Selsdon Park,Selsdon Park,Selsdon Park
1932-12-14,nc9650,2,The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.,2,A1,Amarillo-English...,Amarillo-English...,Amarillo-English...
1933-01-14,nc185h,2,Went into a vertical bank and crashed and burned.,2,A1,"Newark, NJ",NJ,NJ
1933-01-24,nc431h,2,The mail plane crashed while taking off.,3,A1,"Eugene, OR",OR,OR
1933-03-28,gaaci,15,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss,  in an attempt to commit suicide. The plane was named Cit y of Liverpool.",15,A1,near Diksmuide,near Diksmuide,near Diksmuide
1933-08-29,nc9607,5,Crashed into a mountain slope  during a storm while attempting to make an emergency landing.,5,A1,"near Quay, NM",NM,NM
1934-05-31,faivg,2,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.,2,A1,Croydon,Croydon,Croydon
1934-06-09,nc12354,7,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain.",7,A1,near Livingston Manor...,near Livingston Manor...,near Livingston Manor...
1934-07-27,ch170,12,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames. Failure of the right wing caused by fractures in the structure which occurred because of  oscillations in the wing.",12,A1,Wurmlingen/Tuttl...,Wurmlingen/Tuttl...,Wurmlingen/Tuttl...
1934-10-19,vhurn,11,Crashed 10 miles off the coast under unknown circumstances,11,A1,near Wilsons Promonto...,near Wilsons Promonto...,near Wilsons Promonto...
1934-11-15,vhusg,4,The aircraft suddenly went out of control and crashed to the ground on its delivery flight from England to Brisbane. Improper loading of parts resulting in an aft center of gravity.,4,A1,"near Ilfracombe, QLD",QLD,QLD
1934-12-10,nm7,4,Crashed into a mountain in poor weater condtions and low visiblity while en route.,8,A1,near Palma Soriano,near Palma Soriano,near Palma Soriano
1934-12-20,phaju,7,"While flying over the Iraqi Desert at night, the crew encountered poor weather conditions and decided to divert to Rutbah Wells. On approach, the aircraft impacted the ground and exploded.16 km from Rutbah Wells airfield. The aircraft was named ""Uiver"" (Dutch word for stork).",7,A1,near Rutbah Wells,near Rutbah Wells,near Rutbah Wells
